discount_id,product_id,discount_code,discount_percent,start_date,end_date
1,82,PROMO100000,30,2023-04-27,2023-06-24
2,18464,PROMO100001,20,2023-12-16,2024-01-16
3,18136,PROMO100002,10,2023-04-23,2023-05-24
4,1898,PROMO100003,15,2025-07-18,2025-08-29
5,7914,PROMO100004,20,2023-03-07,2023-04-01
6,8265,PROMO100005,15,2025-06-11,2025-07-17
7,14984,PROMO100006,25,2024-05-30,2024-07-20
8,5080,PROMO100007,5,2024-08-23,2024-10-02
9,5688,PROMO100008,15,2025-09-29,2025-10-06
10,5336,PROMO100009,20,2023-01-14,2023-02-20
11,19629,PROMO100010,10,2024-10-14,2024-12-01
12,15678,PROMO100011,25,2024-05-25,2024-06-29
13,3015,PROMO100012,15,2024-01-02,2024-02-08
14,17439,PROMO100013,5,2025-05-22,2025-06-18
15,3433,PROMO100014,10,2025-10-14,2025-12-08
16,14248,PROMO100015,25,2025-06-10,2025-07-13
17,4923,PROMO100016,10,2025-04-12,2025-05-27
18,8597,PROMO100017,10,2025-11-17,2026-01-13
19,4934,PROMO100018,5,2025-03-18,2025-04-02
20,17905,PROMO100019,10,2024-05-13,2024-06-24
21,1325,PROMO100020,10,2024-01-05,2024-03-05
22,6367,PROMO100021,20,2024-10-09,2024-11-18
23,314,PROMO100022,15,2025-12-15,2026-01-16
24,16614,PROMO100023,10,2024-04-29,2024-06-13
25,15968,PROMO100024,10,2023-05-24,2023-06-17
26,9871,PROMO100025,10,2025-04-20,2025-05-02
27,18502,PROMO100026,15,2023-10-28,2023-12-08
28,16654,PROMO100027,20,2023-09-15,2023-10-08
29,1123,PROMO100028,20,2025-09-05,2025-10-27
30,19657,PROMO100029,15,2023-02-12,2023-02-26
31,12558,PROMO100030,10,2023-05-17,2023-06-04
32,6171,PROMO100031,5,2023-10-23,2023-11-02
33,17213,PROMO100032,20,2023-10-12,2023-11-25
34,11461,PROMO100033,20,2023-04-07,2023-06-06
35,728,PROMO100034,15,2024-06-08,2024-07-01
36,13322,PROMO100035,10,2024-04-06,2024-05-24
37,2112,PROMO100036,5,2023-03-04,2023-04-14
38,3638,PROMO100037,15,2025-07-08,2025-08-07
39,13409,PROMO100038,20,2023-04-21,2023-05-07
40,9678,PROMO100039,20,2023-03-04,2023-03-23
41,16678,PROMO100040,10,2025-09-03,2025-10-18
42,19642,PROMO100041,5,2025-12-16,2026-02-08
43,7249,PROMO100042,25,2024-10-24,2024-11-05
44,4981,PROMO100043,10,2023-09-06,2023-10-25
45,19716,PROMO100044,10,2023-07-06,2023-08-20
46,19395,PROMO100045,15,2023-05-12,2023-07-05
47,1246,PROMO100046,5,2023-03-06,2023-04-18
48,16923,PROMO100047,15,2023-03-29,2023-05-10
49,9350,PROMO100048,10,2023-10-25,2023-12-17
50,181,PROMO100049,20,2024-12-31,2025-02-12
51,5648,PROMO100050,10,2025-02-07,2025-03-26
52,13628,PROMO100051,30,2023-06-18,2023-08-07
53,335,PROMO100052,10,2024-08-24,2024-09-20
54,8430,PROMO100053,15,2024-05-23,2024-06-02
55,12103,PROMO100054,10,2023-01-08,2023-03-06
56,17939,PROMO100055,20,2024-11-16,2025-01-06
57,7942,PROMO100056,10,2025-08-12,2025-09-07
58,8506,PROMO100057,5,2025-08-25,2025-10-13
59,7585,PROMO100058,40,2025-05-14,2025-07-03
60,9414,PROMO100059,5,2025-03-15,2025-04-15
61,8810,PROMO100060,20,2024-05-17,2024-06-11
62,4304,PROMO100061,5,2025-04-18,2025-05-09
63,9058,PROMO100062,30,2023-01-18,2023-02-17
64,13444,PROMO100063,25,2023-03-15,2023-04-25
65,19125,PROMO100064,20,2024-10-02,2024-11-23
66,15504,PROMO100065,15,2023-12-11,2024-02-06
67,15796,PROMO100066,15,2025-12-14,2026-01-13
68,15869,PROMO100067,5,2023-04-04,2023-05-27
69,3187,PROMO100068,5,2024-10-28,2024-11-26
70,173,PROMO100069,15,2023-12-24,2024-02-21
71,16766,PROMO100070,25,2023-09-06,2023-10-02
72,14621,PROMO100071,25,2024-10-01,2024-11-12
73,18981,PROMO100072,15,2024-07-09,2024-08-31
74,7977,PROMO100073,25,2025-11-08,2025-12-19
75,1181,PROMO100074,10,2023-08-05,2023-08-24
76,6365,PROMO100075,25,2023-05-21,2023-05-28
77,15439,PROMO100076,30,2023-01-05,2023-02-17
78,17111,PROMO100077,30,2025-03-24,2025-04-14
79,19204,PROMO100078,20,2025-12-24,2026-02-18
80,8347,PROMO100079,20,2024-03-28,2024-05-12
81,4222,PROMO100080,25,2025-04-19,2025-05-23
82,2634,PROMO100081,10,2025-09-17,2025-11-15
83,800,PROMO100082,25,2024-10-25,2024-12-09
84,854,PROMO100083,15,2025-04-12,2025-05-02
85,13988,PROMO100084,25,2023-08-15,2023-09-16
86,14371,PROMO100085,20,2025-01-13,2025-03-14
87,18045,PROMO100086,20,2023-01-23,2023-02-13
88,2700,PROMO100087,20,2024-09-29,2024-10-15
89,18241,PROMO100088,5,2025-07-18,2025-08-28
90,10265,PROMO100089,20,2024-07-15,2024-08-21
91,3026,PROMO100090,10,2025-08-07,2025-09-20
92,15102,PROMO100091,20,2023-07-08,2023-07-17
93,18928,PROMO100092,15,2024-02-23,2024-03-01
94,10218,PROMO100093,15,2025-08-27,2025-10-09
95,730,PROMO100094,10,2024-10-12,2024-11-29
96,9946,PROMO100095,30,2023-12-29,2024-01-07
97,8200,PROMO100096,10,2025-10-21,2025-11-18
98,17675,PROMO100097,30,2025-03-12,2025-05-10
99,3809,PROMO100098,5,2025-02-18,2025-04-08
100,13183,PROMO100099,30,2024-12-04,2025-01-14
101,14612,PROMO100100,5,2025-01-31,2025-02-19
102,7430,PROMO100101,5,2024-01-04,2024-02-28
103,11144,PROMO100102,30,2023-02-12,2023-03-18
104,11073,PROMO100103,5,2024-01-13,2024-03-09
105,631,PROMO100104,20,2023-06-14,2023-07-08
106,4462,PROMO100105,20,2023-06-16,2023-08-01
107,14280,PROMO100106,5,2024-06-07,2024-07-21
108,8390,PROMO100107,15,2025-02-11,2025-02-22
109,5887,PROMO100108,10,2025-04-03,2025-04-30
110,10757,PROMO100109,20,2024-11-09,2024-11-16
111,8584,PROMO100110,20,2023-09-17,2023-10-18
112,11127,PROMO100111,25,2025-06-14,2025-07-12
113,10612,PROMO100112,20,2025-01-20,2025-03-05
114,4477,PROMO100113,20,2023-04-15,2023-06-11
115,5486,PROMO100114,20,2024-09-01,2024-09-15
116,17176,PROMO100115,20,2024-01-07,2024-02-07
117,4320,PROMO100116,10,2024-09-29,2024-10-17
118,6537,PROMO100117,5,2023-01-08,2023-02-08
119,11650,PROMO100118,10,2024-10-08,2024-12-05
120,16955,PROMO100119,25,2025-10-21,2025-11-30
121,14775,PROMO100120,40,2025-03-06,2025-03-28
122,13355,PROMO100121,5,2024-06-06,2024-07-12
123,15366,PROMO100122,40,2024-09-16,2024-10-26
124,11073,PROMO100123,25,2025-03-10,2025-04-08
125,13722,PROMO100124,25,2025-04-05,2025-05-16
126,11092,PROMO100125,25,2025-02-13,2025-04-08
127,1916,PROMO100126,25,2023-05-08,2023-06-12
128,16221,PROMO100127,40,2023-09-26,2023-11-07
129,9797,PROMO100128,30,2023-11-28,2024-01-16
130,6154,PROMO100129,5,2024-02-19,2024-03-05
131,15300,PROMO100130,5,2024-12-13,2025-01-04
132,11830,PROMO100131,20,2025-12-21,2026-01-08
133,12539,PROMO100132,30,2025-07-28,2025-08-10
134,18129,PROMO100133,30,2025-01-08,2025-02-12
135,2291,PROMO100134,5,2023-07-13,2023-08-30
136,7219,PROMO100135,10,2025-07-28,2025-08-15
137,17205,PROMO100136,30,2025-01-23,2025-03-02
138,7206,PROMO100137,15,2024-02-29,2024-04-07
139,2814,PROMO100138,20,2025-02-25,2025-03-29
140,742,PROMO100139,15,2024-09-22,2024-10-12
141,12019,PROMO100140,15,2023-01-14,2023-02-04
142,15423,PROMO100141,15,2023-03-11,2023-04-23
143,16502,PROMO100142,10,2025-07-31,2025-09-13
144,3148,PROMO100143,15,2025-10-13,2025-11-06
145,12808,PROMO100144,5,2023-11-18,2023-12-17
146,6767,PROMO100145,10,2025-03-26,2025-04-12
147,10275,PROMO100146,10,2025-10-08,2025-11-19
148,17240,PROMO100147,5,2025-01-06,2025-02-18
149,3145,PROMO100148,10,2025-09-26,2025-11-19
150,7192,PROMO100149,15,2025-10-14,2025-11-23
151,1598,PROMO100150,15,2024-10-09,2024-10-31
152,8434,PROMO100151,10,2024-05-08,2024-06-05
153,7931,PROMO100152,5,2023-12-04,2024-01-29
154,11440,PROMO100153,25,2025-09-01,2025-10-05
155,8176,PROMO100154,15,2024-04-09,2024-04-24
156,7538,PROMO100155,5,2024-02-28,2024-03-20
157,15475,PROMO100156,20,2024-03-24,2024-05-04
158,2641,PROMO100157,30,2023-08-01,2023-09-14
159,8916,PROMO100158,25,2025-01-31,2025-03-26
160,5225,PROMO100159,20,2024-05-03,2024-05-10
161,323,PROMO100160,20,2025-08-10,2025-10-05
162,2906,PROMO100161,15,2023-12-10,2024-01-21
163,4797,PROMO100162,10,2023-01-19,2023-03-14
164,5502,PROMO100163,15,2025-01-02,2025-01-28
165,19615,PROMO100164,30,2025-07-20,2025-08-12
166,3511,PROMO100165,25,2025-02-11,2025-03-15
167,15776,PROMO100166,10,2024-05-12,2024-05-26
168,8960,PROMO100167,20,2023-04-17,2023-06-05
169,11470,PROMO100168,25,2023-09-26,2023-11-13
170,18822,PROMO100169,20,2025-02-14,2025-03-30
171,1609,PROMO100170,20,2025-07-04,2025-08-02
172,4177,PROMO100171,25,2023-02-05,2023-03-30
173,11348,PROMO100172,30,2023-10-10,2023-10-25
174,2627,PROMO100173,25,2024-05-05,2024-06-30
175,882,PROMO100174,30,2023-02-19,2023-03-15
176,18255,PROMO100175,15,2023-07-31,2023-08-09
177,14844,PROMO100176,20,2025-07-08,2025-08-22
178,14506,PROMO100177,15,2025-09-16,2025-10-06
179,224,PROMO100178,20,2025-12-16,2025-12-25
180,17382,PROMO100179,10,2024-03-01,2024-03-22
181,18208,PROMO100180,10,2023-10-01,2023-10-25
182,6053,PROMO100181,20,2025-04-09,2025-05-10
183,5869,PROMO100182,15,2023-12-06,2023-12-27
184,7351,PROMO100183,15,2025-11-11,2026-01-10
185,336,PROMO100184,10,2023-04-08,2023-05-04
186,2952,PROMO100185,10,2025-06-16,2025-07-17
187,3050,PROMO100186,20,2023-01-09,2023-02-08
188,5145,PROMO100187,10,2023-06-20,2023-07-04
189,1064,PROMO100188,10,2024-05-28,2024-07-03
190,13545,PROMO100189,25,2024-09-18,2024-10-03
191,7530,PROMO100190,10,2023-06-05,2023-06-12
192,13058,PROMO100191,10,2025-05-12,2025-07-08
193,2535,PROMO100192,20,2024-03-24,2024-04-27
194,14362,PROMO100193,20,2023-03-11,2023-04-16
195,19549,PROMO100194,30,2023-04-20,2023-05-25
196,12777,PROMO100195,10,2025-12-23,2026-02-19
197,9491,PROMO100196,5,2023-04-09,2023-05-28
198,18343,PROMO100197,15,2025-10-29,2025-11-22
199,16665,PROMO100198,15,2025-06-24,2025-08-06
200,12943,PROMO100199,5,2025-07-15,2025-07-30
201,13082,PROMO100200,25,2024-02-24,2024-04-19
202,13631,PROMO100201,10,2024-02-24,2024-03-07
203,1850,PROMO100202,25,2025-07-19,2025-07-28
204,18518,PROMO100203,25,2023-02-16,2023-04-13
205,4860,PROMO100204,40,2025-11-07,2025-12-10
206,2021,PROMO100205,20,2025-05-07,2025-06-05
207,16607,PROMO100206,10,2024-03-08,2024-04-01
208,8474,PROMO100207,25,2025-01-07,2025-02-16
209,4093,PROMO100208,40,2023-01-06,2023-03-01
210,17827,PROMO100209,15,2024-09-21,2024-10-26
211,7667,PROMO100210,20,2025-02-14,2025-03-14
212,8025,PROMO100211,30,2025-06-25,2025-08-19
213,15916,PROMO100212,5,2024-02-19,2024-03-21
214,10599,PROMO100213,25,2025-05-29,2025-06-25
215,1853,PROMO100214,15,2024-05-07,2024-05-29
216,14726,PROMO100215,5,2024-07-24,2024-09-01
217,13008,PROMO100216,30,2025-05-28,2025-07-20
218,2232,PROMO100217,15,2024-07-17,2024-09-14
219,13039,PROMO100218,5,2024-05-24,2024-06-20
220,9732,PROMO100219,25,2024-12-24,2025-02-17
221,17712,PROMO100220,30,2025-08-30,2025-10-24
222,6233,PROMO100221,20,2023-05-13,2023-05-29
223,16055,PROMO100222,25,2024-01-30,2024-02-26
224,11114,PROMO100223,15,2024-03-20,2024-05-07
225,5068,PROMO100224,30,2023-03-20,2023-04-02
226,5888,PROMO100225,15,2023-05-11,2023-05-26
227,6470,PROMO100226,10,2023-11-17,2023-12-12
228,2760,PROMO100227,30,2024-06-27,2024-08-08
229,13736,PROMO100228,10,2024-08-25,2024-09-18
230,540,PROMO100229,25,2025-12-02,2026-01-14
231,16366,PROMO100230,15,2023-08-08,2023-10-04
232,14599,PROMO100231,5,2024-07-19,2024-08-30
233,10486,PROMO100232,30,2024-05-18,2024-07-15
234,17878,PROMO100233,25,2024-02-13,2024-02-24
235,5182,PROMO100234,15,2025-11-02,2025-12-20
236,16085,PROMO100235,15,2023-10-15,2023-11-28
237,4386,PROMO100236,40,2024-11-16,2024-11-23
238,8970,PROMO100237,10,2024-05-23,2024-07-18
239,9927,PROMO100238,10,2025-12-19,2026-01-22
240,12695,PROMO100239,30,2024-10-18,2024-12-11
241,3107,PROMO100240,25,2023-06-25,2023-08-11
242,4225,PROMO100241,30,2025-09-29,2025-11-04
243,7913,PROMO100242,10,2024-11-19,2024-12-06
244,14402,PROMO100243,15,2023-09-12,2023-10-25
245,1289,PROMO100244,20,2024-06-24,2024-07-24
246,15925,PROMO100245,25,2024-08-09,2024-08-16
247,11610,PROMO100246,10,2024-08-29,2024-09-26
248,10703,PROMO100247,20,2024-05-04,2024-05-30
249,14618,PROMO100248,10,2023-07-13,2023-08-25
250,18016,PROMO100249,15,2023-08-17,2023-09-23
251,16240,PROMO100250,5,2024-08-27,2024-10-04
252,12443,PROMO100251,30,2023-12-10,2024-02-08
253,7893,PROMO100252,30,2024-11-16,2024-12-19
254,19335,PROMO100253,10,2023-01-02,2023-02-26
255,7438,PROMO100254,25,2023-09-17,2023-10-20
256,7810,PROMO100255,10,2024-12-23,2025-01-21
257,9304,PROMO100256,5,2023-11-04,2023-12-10
258,16028,PROMO100257,20,2025-04-20,2025-05-11
259,6178,PROMO100258,5,2024-11-11,2024-12-15
260,9398,PROMO100259,15,2023-04-15,2023-05-04
261,11866,PROMO100260,20,2025-12-09,2025-12-21
262,5634,PROMO100261,5,2023-11-19,2023-12-07
263,19899,PROMO100262,5,2024-12-17,2025-01-10
264,9194,PROMO100263,40,2023-07-06,2023-08-25
265,5066,PROMO100264,10,2024-06-29,2024-08-26
266,15871,PROMO100265,15,2025-12-16,2025-12-26
267,3838,PROMO100266,15,2024-10-01,2024-10-13
268,14453,PROMO100267,15,2025-11-04,2025-11-14
269,9716,PROMO100268,25,2025-12-02,2026-01-30
270,15409,PROMO100269,30,2025-12-20,2026-02-18
271,16962,PROMO100270,25,2025-10-29,2025-12-07
272,7964,PROMO100271,30,2024-05-28,2024-07-01
273,12485,PROMO100272,15,2025-08-22,2025-09-03
274,419,PROMO100273,10,2024-05-06,2024-06-06
275,9326,PROMO100274,10,2025-06-02,2025-07-28
276,17058,PROMO100275,10,2023-11-25,2023-12-12
277,16940,PROMO100276,15,2023-05-15,2023-06-10
278,18117,PROMO100277,25,2024-06-08,2024-07-26
279,12588,PROMO100278,25,2023-09-20,2023-10-08
280,14569,PROMO100279,10,2024-09-06,2024-10-01
281,2427,PROMO100280,15,2024-11-15,2024-12-06
282,10192,PROMO100281,10,2024-11-17,2025-01-08
283,6975,PROMO100282,15,2024-02-07,2024-03-09
284,11145,PROMO100283,10,2023-03-13,2023-05-07
285,12479,PROMO100284,10,2023-10-11,2023-12-08
286,3584,PROMO100285,10,2024-06-18,2024-07-08
287,9258,PROMO100286,25,2025-05-01,2025-06-26
288,10983,PROMO100287,5,2023-12-25,2024-01-21
289,18829,PROMO100288,20,2024-03-07,2024-04-15
290,14182,PROMO100289,25,2025-11-18,2026-01-17
291,314,PROMO100290,20,2023-05-12,2023-05-31
292,19025,PROMO100291,20,2024-06-04,2024-07-24
293,15015,PROMO100292,20,2023-03-22,2023-05-12
294,16140,PROMO100293,10,2025-10-07,2025-11-29
295,16671,PROMO100294,20,2025-10-08,2025-11-30
296,2228,PROMO100295,30,2023-02-21,2023-03-25
297,14180,PROMO100296,10,2024-08-22,2024-09-25
298,18130,PROMO100297,25,2024-05-17,2024-06-04
299,13278,PROMO100298,5,2024-03-09,2024-03-27
300,3849,PROMO100299,20,2023-09-29,2023-11-24
301,14856,PROMO100300,20,2025-10-11,2025-11-06
302,5645,PROMO100301,10,2025-06-04,2025-06-21
303,18918,PROMO100302,20,2025-05-04,2025-05-15
304,10374,PROMO100303,5,2024-07-14,2024-08-22
305,1315,PROMO100304,15,2023-09-23,2023-10-18
306,2578,PROMO100305,10,2024-08-02,2024-09-14
307,10712,PROMO100306,10,2025-02-09,2025-04-03
308,4133,PROMO100307,20,2025-09-23,2025-10-13
309,8341,PROMO100308,20,2024-12-01,2024-12-25
310,2353,PROMO100309,20,2024-12-18,2025-01-24
311,18392,PROMO100310,20,2023-11-01,2023-12-09
312,16900,PROMO100311,25,2023-03-21,2023-05-14
313,5358,PROMO100312,25,2024-08-31,2024-09-09
314,18292,PROMO100313,5,2023-02-14,2023-03-21
315,6737,PROMO100314,15,2025-06-27,2025-07-11
316,13660,PROMO100315,10,2024-09-13,2024-10-25
317,2728,PROMO100316,5,2025-09-29,2025-11-02
318,8081,PROMO100317,40,2025-04-09,2025-05-10
