campaign_id,campaign_name,channel,start_date,budget,target_segment
1,Campaign 0001,Affiliate,2024-11-25,7142.5,Silver
2,Campaign 0002,Display,2025-08-05,21173.42,Standard
3,Campaign 0003,Display,2024-02-09,15600.12,All
4,Campaign 0004,Affiliate,2025-11-09,31552.05,Standard
5,Campaign 0005,Email,2025-07-06,21923.74,Standard
6,Campaign 0006,Social Media,2024-05-16,11545.82,Gold
7,Campaign 0007,Email,2025-05-04,34951.2,All
8,Campaign 0008,Email,2025-02-16,30898.48,All
9,Campaign 0009,Affiliate,2024-10-20,53509.72,All
10,Campaign 0010,Display,2024-12-25,65777.31,All
11,Campaign 0011,Display,2023-01-21,41550.42,All
12,Campaign 0012,Email,2023-11-15,12227.16,Silver
13,Campaign 0013,Search,2023-07-04,50208.19,Platinum
14,Campaign 0014,Email,2024-07-19,90652.11,Standard
15,Campaign 0015,Social Media,2024-08-07,71018.35,Gold
16,Campaign 0016,Search,2024-12-20,30615.39,All
17,Campaign 0017,Affiliate,2025-02-04,84827.79,Standard
18,Campaign 0018,Display,2024-07-28,60812.94,Standard
19,Campaign 0019,Email,2025-05-22,91605.87,Standard
20,Campaign 0020,Social Media,2025-06-28,45956.96,Silver
21,Campaign 0021,Social Media,2025-08-13,22066.06,All
22,Campaign 0022,Email,2024-08-16,26978.34,Gold
23,Campaign 0023,Social Media,2025-09-03,18736.54,Silver
24,Campaign 0024,Display,2023-02-25,61682.4,Silver
25,Campaign 0025,Search,2023-03-12,64468.04,Standard
26,Campaign 0026,Email,2023-01-07,77714.16,Silver
27,Campaign 0027,Search,2023-01-28,66911.85,Standard
28,Campaign 0028,Display,2023-03-31,1596.29,All
29,Campaign 0029,Social Media,2023-10-07,70245.08,Platinum
30,Campaign 0030,Search,2025-03-24,16412.69,All
31,Campaign 0031,Display,2025-09-25,16992.05,Gold
32,Campaign 0032,Affiliate,2023-02-14,47728.07,Gold
33,Campaign 0033,Display,2023-03-07,32541.84,Standard
34,Campaign 0034,Email,2024-01-07,2208.58,Standard
35,Campaign 0035,Social Media,2025-04-30,27834.24,Gold
36,Campaign 0036,Affiliate,2024-10-11,68298.28,All
37,Campaign 0037,Email,2024-10-14,3707.55,Gold
38,Campaign 0038,Search,2025-06-28,90345.92,Gold
39,Campaign 0039,Search,2025-06-16,3615.7,Silver
40,Campaign 0040,Social Media,2023-01-23,64922.06,Gold
41,Campaign 0041,Email,2024-07-22,70786.28,Standard
42,Campaign 0042,Social Media,2024-10-11,54393.61,Standard
43,Campaign 0043,Search,2024-03-08,30529.67,All
44,Campaign 0044,Social Media,2023-12-20,59790.96,Silver
45,Campaign 0045,Social Media,2025-05-02,5356.37,Silver
46,Campaign 0046,Search,2024-10-08,94674.36,Silver
47,Campaign 0047,Search,2025-03-13,53302.52,Platinum
48,Campaign 0048,Social Media,2024-08-30,56205.02,Gold
49,Campaign 0049,Display,2023-06-24,54130.55,Gold
50,Campaign 0050,Email,2023-02-17,11842.31,All
51,Campaign 0051,Social Media,2023-04-09,69423.83,Silver
52,Campaign 0052,Social Media,2025-10-12,76817.53,Gold
53,Campaign 0053,Social Media,2024-05-12,35076.42,Silver
54,Campaign 0054,Social Media,2023-05-15,22560.4,Silver
55,Campaign 0055,Display,2024-01-02,77657.43,Gold
56,Campaign 0056,Display,2024-10-25,44536.82,Gold
57,Campaign 0057,Display,2023-09-09,69196.27,Standard
58,Campaign 0058,Social Media,2024-06-03,12585.09,Standard
59,Campaign 0059,Search,2023-10-24,42392.12,Silver
60,Campaign 0060,Email,2024-03-15,27978.83,Silver
61,Campaign 0061,Social Media,2023-10-23,61125.72,All
62,Campaign 0062,Display,2025-01-24,17294.59,Standard
63,Campaign 0063,Social Media,2024-11-15,24211.02,All
64,Campaign 0064,Display,2024-07-12,42645.37,Standard
65,Campaign 0065,Social Media,2024-07-14,1215.39,Silver
66,Campaign 0066,Search,2024-01-22,70984.57,Silver
67,Campaign 0067,Affiliate,2025-05-30,30355.42,All
68,Campaign 0068,Social Media,2023-04-02,30257.75,All
69,Campaign 0069,Affiliate,2023-08-22,25907.49,Silver
70,Campaign 0070,Social Media,2023-02-01,28108.56,All
71,Campaign 0071,Email,2023-10-07,47531.58,Standard
72,Campaign 0072,Email,2023-10-11,50728.91,Silver
73,Campaign 0073,Search,2024-05-27,82651.59,Silver
74,Campaign 0074,Affiliate,2024-05-12,10259.23,Silver
75,Campaign 0075,Social Media,2025-04-20,71314.85,Standard
76,Campaign 0076,Affiliate,2023-02-19,42897.53,Silver
77,Campaign 0077,Social Media,2023-02-13,7436.15,Silver
78,Campaign 0078,Search,2023-02-20,59562.51,All
79,Campaign 0079,Affiliate,2024-04-30,34353.72,All
80,Campaign 0080,Affiliate,2025-03-13,16075.34,All
81,Campaign 0081,Affiliate,2023-09-18,65035.79,Silver
82,Campaign 0082,Affiliate,2024-03-17,14577.44,Gold
83,Campaign 0083,Search,2024-08-01,56224.98,Standard
84,Campaign 0084,Social Media,2023-03-19,29360.36,All
85,Campaign 0085,Email,2024-02-05,1256.67,Gold
86,Campaign 0086,Display,2023-05-14,21981.55,All
87,Campaign 0087,Email,2023-05-02,27026.92,Standard
88,Campaign 0088,Search,2024-09-10,15383.62,Standard
89,Campaign 0089,Search,2025-11-03,23600.63,Gold
90,Campaign 0090,Search,2025-09-04,21416.29,Gold
91,Campaign 0091,Search,2024-11-28,84733.11,Standard
92,Campaign 0092,Affiliate,2023-04-21,5561.31,Gold
93,Campaign 0093,Search,2023-06-11,34313.84,Silver
94,Campaign 0094,Search,2025-01-27,98547.24,All
95,Campaign 0095,Email,2023-07-24,12422.59,Gold
96,Campaign 0096,Display,2023-12-24,81896.71,All
97,Campaign 0097,Affiliate,2023-05-22,55567.4,Gold
98,Campaign 0098,Affiliate,2024-07-05,65727.63,Silver
99,Campaign 0099,Affiliate,2025-04-07,71235.27,Platinum
100,Campaign 0100,Affiliate,2023-08-21,63963.16,Silver
101,Campaign 0101,Email,2023-03-17,91482.98,Silver
102,Campaign 0102,Search,2023-10-29,52876.13,Standard
103,Campaign 0103,Social Media,2025-07-11,67574.88,All
104,Campaign 0104,Search,2024-04-26,92259.14,Silver
105,Campaign 0105,Social Media,2024-05-02,35695.01,Standard
106,Campaign 0106,Social Media,2023-03-12,10046.98,Standard
107,Campaign 0107,Social Media,2025-10-11,84030.71,Standard
108,Campaign 0108,Email,2023-02-16,26271.99,Standard
109,Campaign 0109,Social Media,2025-06-03,90461.86,All
110,Campaign 0110,Search,2023-08-14,35884.03,All
111,Campaign 0111,Social Media,2023-11-21,91633.97,Standard
112,Campaign 0112,Email,2024-02-28,12177.94,Gold
113,Campaign 0113,Display,2023-04-28,70789.0,Silver
114,Campaign 0114,Search,2023-02-12,35303.26,All
115,Campaign 0115,Email,2023-02-24,85990.81,Silver
116,Campaign 0116,Search,2025-09-08,24104.15,Platinum
117,Campaign 0117,Affiliate,2024-05-08,13812.47,All
118,Campaign 0118,Social Media,2023-03-14,44861.66,All
119,Campaign 0119,Social Media,2024-05-12,25240.58,Silver
120,Campaign 0120,Affiliate,2023-04-03,95178.15,Gold
121,Campaign 0121,Social Media,2023-08-09,69937.14,Standard
122,Campaign 0122,Affiliate,2023-12-26,15143.95,Gold
123,Campaign 0123,Social Media,2023-01-30,85850.07,Silver
124,Campaign 0124,Email,2025-06-26,62765.0,Gold
125,Campaign 0125,Search,2024-09-10,25018.76,Gold
126,Campaign 0126,Search,2024-08-29,27358.1,Gold
127,Campaign 0127,Email,2023-09-06,29557.19,Silver
128,Campaign 0128,Email,2024-02-20,70393.85,Standard
129,Campaign 0129,Search,2023-05-19,10265.0,Silver
130,Campaign 0130,Affiliate,2023-12-24,76463.91,All
131,Campaign 0131,Search,2024-06-06,66135.69,Standard
132,Campaign 0132,Search,2024-01-08,24950.79,Silver
133,Campaign 0133,Email,2024-02-14,14422.58,Gold
134,Campaign 0134,Search,2023-08-02,21928.29,Silver
135,Campaign 0135,Social Media,2024-05-08,35960.64,All
136,Campaign 0136,Social Media,2024-03-26,53155.83,Gold
137,Campaign 0137,Email,2024-01-28,55291.67,Silver
138,Campaign 0138,Affiliate,2023-06-01,3391.36,All
139,Campaign 0139,Social Media,2024-05-14,1337.62,Gold
140,Campaign 0140,Display,2025-08-31,52891.54,Gold
141,Campaign 0141,Email,2024-06-10,68218.81,Silver
142,Campaign 0142,Affiliate,2025-08-26,39726.01,All
143,Campaign 0143,Search,2025-02-06,58334.77,Silver
144,Campaign 0144,Social Media,2025-06-29,1871.52,All
145,Campaign 0145,Email,2025-07-08,46175.09,Standard
146,Campaign 0146,Display,2023-05-21,77066.55,Standard
147,Campaign 0147,Affiliate,2023-04-06,86107.48,Silver
148,Campaign 0148,Email,2023-02-20,79072.39,Gold
149,Campaign 0149,Email,2023-09-26,85642.81,Silver
150,Campaign 0150,Affiliate,2025-04-02,15770.08,Standard
151,Campaign 0151,Email,2023-10-23,10441.89,All
152,Campaign 0152,Display,2025-06-03,12173.28,Gold
153,Campaign 0153,Affiliate,2024-05-25,69027.51,All
154,Campaign 0154,Email,2023-02-05,97468.77,All
155,Campaign 0155,Email,2025-02-05,35829.07,Gold
156,Campaign 0156,Affiliate,2024-01-20,46102.98,All
157,Campaign 0157,Social Media,2023-01-23,21947.49,All
158,Campaign 0158,Email,2023-04-07,95633.35,All
159,Campaign 0159,Email,2024-12-01,98735.05,Standard
160,Campaign 0160,Display,2024-02-29,80738.75,Silver
161,Campaign 0161,Search,2023-02-20,30833.5,Standard
162,Campaign 0162,Search,2025-09-06,18816.48,Silver
163,Campaign 0163,Affiliate,2025-01-12,8397.84,Gold
