product_id,product_name,category_id,supplier_id,unit_price,cost_price,stock_quantity,rating,active_flag
1,Air Fryer Model 00001,CAT003,882,302.27,215.89,899,4.61,Y
2,Building Blocks Model 00002,CAT008,350,28.88,13.86,544,4.06,Y
3,Desk Organizer Model 00003,CAT009,174,363.17,234.76,506,4.43,Y
4,Gaming Mouse Model 00004,CAT002,116,191.32,140.58,611,3.95,Y
5,Smartphone Model 00005,CAT001,695,222.92,106.15,345,4.15,Y
6,Printer Paper Model 00006,CAT009,361,85.8,56.58,949,3.85,N
7,Air Fryer Model 00007,CAT003,355,186.49,115.41,924,3.33,Y
8,Sports Bag Model 00008,CAT005,666,26.22,14.67,814,4.5,Y
9,Car Phone Holder Model 00009,CAT010,759,35.63,17.22,581,3.7,Y
10,Power Bank Model 00010,CAT001,76,129.49,87.18,466,4.43,Y
11,Hoodie Model 00011,CAT006,927,84.83,46.83,497,4.58,Y
12,Wireless Earbuds Model 00012,CAT001,756,56.87,31.95,311,3.99,Y
13,Air Fryer Model 00013,CAT003,81,6.83,4.69,152,4.74,Y
14,Building Blocks Model 00014,CAT008,229,43.92,33.47,313,3.89,Y
15,Shampoo Model 00015,CAT004,72,22.6,12.66,201,3.89,Y
16,Dash Camera Model 00016,CAT010,403,101.35,70.58,867,3.89,Y
17,Sports Bag Model 00017,CAT005,218,54.73,41.9,559,3.95,Y
18,Desk Lamp Model 00018,CAT003,452,36.93,17.81,818,3.94,Y
19,Mechanical Keyboard Model 00019,CAT002,911,701.35,438.09,106,3.99,Y
20,Desk Lamp Model 00020,CAT003,755,165.46,75.07,201,5.0,Y
21,Coffee Maker Model 00021,CAT003,367,168.12,121.43,463,3.61,Y
22,Power Bank Model 00022,CAT001,826,471.72,256.93,910,4.8,Y
23,Blender Model 00023,CAT003,590,133.8,74.9,368,4.04,Y
24,Shampoo Model 00024,CAT004,670,32.48,21.98,225,3.91,Y
25,Economics Book Model 00025,CAT007,560,29.23,20.77,941,4.45,Y
26,Jeans Model 00026,CAT006,312,154.9,90.15,103,4.41,Y
27,Backpack Model 00027,CAT006,298,10.19,6.82,821,3.71,Y
28,Wireless Earbuds Model 00028,CAT001,24,60.61,46.4,437,4.97,Y
29,Gaming Mouse Model 00029,CAT002,110,9.21,6.84,974,3.53,Y
30,Hoodie Model 00030,CAT006,52,71.05,48.41,576,4.28,Y
31,Skin Serum Model 00031,CAT004,939,140.2,106.72,503,3.64,Y
