return_id,order_id,customer_id,return_date,reason,refund_amount,return_status
1,265533,35280,2026-01-18,Changed Mind,123.18,Completed
2,84507,36705,2024-12-23,Damaged,490.42,Approved
3,299343,51661,2024-09-04,Wrong Item,461.6,Completed
4,439778,38871,2025-12-13,Changed Mind,11.94,Approved
5,432237,17204,2026-01-16,Late Delivery,493.47,Approved
6,133344,17328,2025-09-01,Wrong Item,236.78,Completed
7,471255,89199,2025-06-21,Late Delivery,263.64,Completed
8,281093,99207,2023-06-05,Late Delivery,260.51,Completed
9,114282,67239,2025-11-05,Not as Described,470.18,Rejected
10,77729,94775,2025-04-23,Wrong Item,370.24,Approved
11,259491,85012,2025-07-21,Late Delivery,424.24,Approved
12,13539,14963,2025-07-03,Not as Described,258.69,Completed
13,399120,65589,2025-04-02,Not as Described,174.89,Completed
14,305091,77897,2023-06-03,Late Delivery,22.26,Completed
15,61139,93127,2023-10-30,Late Delivery,207.49,Completed
16,185813,19067,2024-01-25,Damaged,14.46,Approved
17,365773,39933,2024-08-13,Changed Mind,216.06,Rejected
18,12222,41523,2025-04-15,Changed Mind,69.6,Completed
19,191854,88531,2025-07-30,Late Delivery,119.82,Rejected
20,118951,66975,2024-12-30,Changed Mind,407.32,Completed
21,215515,37850,2023-07-23,Late Delivery,121.99,Approved
22,460598,21899,2025-05-31,Late Delivery,307.05,Completed
23,360198,82995,2023-05-27,Damaged,487.3,Completed
24,189113,28537,2023-11-19,Not as Described,381.61,Approved
25,101107,56529,2025-12-02,Not as Described,50.23,Completed
26,233257,17211,2024-03-16,Late Delivery,486.26,Completed
27,81440,95220,2024-12-15,Damaged,286.92,Completed
28,212593,45311,2026-01-24,Changed Mind,385.92,Completed
29,107359,67223,2024-05-16,Wrong Item,183.71,Completed
30,338505,97690,2025-09-22,Late Delivery,13.05,Completed
31,28514,64296,2025-05-13,Late Delivery,293.99,Approved
32,427932,87558,2025-08-24,Damaged,155.97,Completed
33,223216,34890,2024-04-20,Damaged,78.29,Completed
34,179992,98434,2023-06-23,Damaged,433.69,Completed
35,19227,53904,2024-11-25,Late Delivery,200.36,Completed
36,32801,39836,2025-08-05,Damaged,58.28,Completed
37,138700,99458,2025-12-13,Not as Described,155.74,Rejected
38,130147,65077,2024-04-05,Changed Mind,313.64,Approved
39,370223,85787,2024-12-24,Damaged,299.48,Completed
40,198447,18444,2024-01-15,Damaged,245.81,Completed
41,438715,99756,2023-09-14,Wrong Item,488.59,Completed
42,309983,44150,2024-12-12,Changed Mind,478.07,Rejected
43,458483,80744,2024-08-16,Not as Described,134.02,Completed
44,285170,13748,2023-11-20,Changed Mind,294.76,Completed
45,55099,4191,2025-10-30,Changed Mind,29.36,Completed
46,386226,83375,2025-08-12,Not as Described,175.97,Completed
47,225246,96274,2023-12-02,Not as Described,124.19,Completed
48,280247,70418,2024-03-20,Not as Described,70.02,Completed
49,115247,12307,2023-09-10,Wrong Item,235.31,Completed
50,367290,53122,2024-02-09,Changed Mind,164.42,Completed
51,110090,68576,2023-09-13,Not as Described,119.86,Rejected
52,414055,92458,2023-11-19,Damaged,410.11,Completed
53,492642,96831,2024-08-29,Damaged,167.62,Rejected
54,194449,49280,2025-06-11,Changed Mind,365.08,Approved
55,443263,18825,2024-08-05,Late Delivery,30.75,Rejected
56,15729,69252,2024-01-16,Wrong Item,191.83,Completed
57,2162,39286,2023-09-12,Wrong Item,393.08,Approved
58,223952,4770,2023-02-17,Damaged,480.21,Approved
59,439351,9898,2026-01-02,Late Delivery,487.64,Completed
60,105314,99720,2023-09-22,Damaged,451.42,Rejected
61,191083,2447,2026-01-08,Late Delivery,293.77,Approved
62,199174,39756,2023-06-17,Changed Mind,120.55,Completed
63,159302,41079,2023-10-04,Not as Described,292.99,Completed
64,92156,87551,2023-11-29,Damaged,363.03,Approved
65,273591,64988,2024-05-24,Not as Described,308.62,Completed
66,40391,51826,2024-11-20,Not as Described,412.82,Approved
67,410878,38095,2025-11-19,Late Delivery,29.18,Completed
68,289180,45234,2025-12-30,Changed Mind,99.83,Approved
69,137598,33583,2024-01-22,Changed Mind,313.21,Approved
70,183983,29896,2025-04-17,Changed Mind,486.49,Completed
71,36861,27140,2023-10-08,Wrong Item,332.9,Completed
72,160245,38766,2024-11-30,Changed Mind,310.2,Approved
73,274359,96204,2023-06-23,Late Delivery,453.05,Approved
74,24032,7228,2025-10-14,Not as Described,346.32,Completed
75,40702,80599,2024-01-18,Changed Mind,31.48,Completed
76,472965,49550,2025-05-19,Damaged,321.24,Approved
77,353082,47476,2024-02-06,Changed Mind,297.88,Completed
78,215935,48561,2023-07-11,Late Delivery,397.59,Completed
79,464146,57062,2023-03-26,Changed Mind,488.05,Completed
80,34433,1480,2024-06-06,Not as Described,39.28,Completed
81,173624,49659,2025-12-19,Wrong Item,206.66,Approved
82,498638,93418,2023-05-18,Not as Described,287.86,Completed
83,486594,35457,2024-10-11,Changed Mind,20.85,Approved
84,352448,2756,2025-02-21,Not as Described,424.38,Completed
85,235339,21245,2023-10-29,Wrong Item,81.44,Completed
86,445822,27699,2026-01-03,Late Delivery,21.58,Completed
87,50118,17429,2025-12-14,Changed Mind,400.43,Completed
88,305662,49423,2025-09-15,Not as Described,366.01,Completed
89,205071,48646,2023-03-15,Wrong Item,349.69,Approved
90,463450,23603,2025-10-15,Damaged,444.67,Completed
91,112255,71115,2025-01-25,Late Delivery,319.27,Completed
92,272459,1630,2023-07-14,Changed Mind,83.07,Completed
93,162285,61960,2025-05-15,Late Delivery,144.36,Completed
94,283678,34042,2025-09-16,Wrong Item,153.12,Completed
95,209145,99238,2024-06-06,Damaged,156.33,Completed
96,484703,5377,2023-04-04,Changed Mind,33.14,Completed
97,219524,88339,2023-02-10,Wrong Item,308.46,Completed
98,174098,91555,2025-10-21,Late Delivery,56.15,Completed
99,199915,18797,2024-11-08,Not as Described,379.99,Completed
100,232557,7948,2025-07-16,Late Delivery,494.95,Rejected
101,491416,29324,2023-05-07,Changed Mind,140.91,Completed
102,145200,30586,2025-10-08,Wrong Item,135.76,Completed
103,492738,71172,2023-03-28,Late Delivery,339.33,Approved
104,437685,45358,2024-09-15,Late Delivery,149.27,Completed
105,75398,18688,2023-12-16,Not as Described,215.91,Completed
106,322427,50185,2025-03-02,Damaged,353.66,Approved
107,39014,5098,2023-06-02,Not as Described,40.35,Completed
108,420380,40961,2024-09-30,Late Delivery,112.1,Approved
109,31077,35197,2024-04-09,Changed Mind,52.88,Completed
110,131931,34912,2024-10-27,Not as Described,433.27,Completed
111,380889,54012,2024-11-12,Wrong Item,119.84,Rejected
112,340312,39604,2023-04-14,Not as Described,89.42,Completed
113,332818,28478,2023-01-18,Changed Mind,264.81,Completed
114,115182,20118,2025-07-17,Changed Mind,81.27,Completed
115,299199,39851,2024-01-03,Changed Mind,268.53,Completed
116,77885,20160,2024-02-05,Wrong Item,289.51,Completed
117,412244,94543,2024-04-06,Changed Mind,246.23,Completed
118,70618,89104,2023-02-26,Not as Described,263.4,Completed
119,160077,22012,2024-02-11,Not as Described,117.19,Approved
120,124104,8780,2024-06-11,Changed Mind,160.95,Completed
121,417452,52544,2025-11-15,Not as Described,411.53,Completed
122,200695,30790,2025-12-01,Changed Mind,196.64,Completed
123,72207,71882,2024-09-16,Wrong Item,392.7,Approved
124,380834,59501,2023-12-22,Changed Mind,463.84,Approved
125,337464,63537,2023-01-27,Not as Described,79.45,Completed
126,131798,50997,2025-02-02,Late Delivery,322.42,Completed
127,405831,92082,2024-09-21,Late Delivery,126.97,Completed
128,252573,19549,2025-05-11,Changed Mind,196.0,Completed
129,29763,54542,2023-04-11,Late Delivery,160.11,Completed
130,42134,8385,2024-11-27,Changed Mind,42.1,Approved
131,269593,68280,2023-06-26,Late Delivery,208.88,Completed
132,181216,24598,2023-04-22,Damaged,21.5,Completed
133,65756,16642,2025-07-21,Wrong Item,390.93,Completed
134,466208,63371,2025-02-09,Late Delivery,406.79,Completed
135,394671,3597,2025-11-24,Damaged,300.9,Completed
136,430267,28255,2023-11-03,Wrong Item,453.5,Rejected
137,100076,51914,2025-05-09,Changed Mind,368.04,Completed
138,483393,51446,2025-04-20,Damaged,65.19,Completed
139,382181,42003,2024-09-23,Not as Described,487.42,Completed
140,339167,61346,2023-06-03,Changed Mind,10.74,Completed
141,375355,85,2025-05-28,Damaged,33.93,Completed
142,425801,26562,2023-05-15,Wrong Item,463.12,Completed
143,248125,79490,2025-08-22,Changed Mind,301.15,Completed
144,28368,84422,2024-10-03,Changed Mind,447.0,Completed
145,470058,36476,2024-05-07,Damaged,146.79,Approved
146,24043,51238,2023-12-22,Damaged,376.45,Approved
147,225058,18530,2025-09-06,Changed Mind,482.14,Completed
148,310274,25937,2025-05-02,Late Delivery,85.29,Completed
149,385498,36353,2024-06-10,Damaged,370.99,Completed
150,217601,79873,2024-12-03,Not as Described,100.97,Completed
151,159901,10084,2024-01-03,Changed Mind,299.39,Completed
152,137123,65005,2025-12-05,Not as Described,350.23,Completed
153,432441,37105,2025-12-17,Damaged,19.23,Completed
154,497258,39311,2024-02-02,Changed Mind,292.64,Completed
155,206023,93182,2024-10-17,Wrong Item,422.27,Completed
156,26449,2575,2025-12-09,Changed Mind,22.03,Completed
157,244303,22355,2024-12-12,Late Delivery,163.79,Completed
158,314329,49473,2025-01-19,Late Delivery,49.06,Completed
159,93805,89168,2023-11-30,Not as Described,174.97,Completed
160,497851,33039,2023-07-03,Changed Mind,441.45,Completed
161,74722,88367,2024-08-30,Late Delivery,470.42,Approved
162,340654,24653,2023-11-18,Changed Mind,467.83,Completed
163,146255,57618,2023-03-16,Late Delivery,455.64,Completed
164,342899,84863,2023-02-09,Late Delivery,344.56,Completed
165,105591,29101,2025-11-24,Damaged,306.88,Completed
166,101330,76441,2026-01-08,Changed Mind,214.06,Completed
167,445771,40195,2023-10-24,Damaged,147.48,Completed
168,461763,54369,2023-07-15,Late Delivery,396.88,Rejected
169,384911,95982,2024-08-26,Late Delivery,324.38,Completed
170,124919,84533,2025-07-20,Not as Described,19.85,Approved
171,203613,52666,2025-05-29,Changed Mind,190.8,Completed
172,488785,28119,2023-11-06,Changed Mind,291.79,Completed
173,115463,78292,2025-05-31,Damaged,238.97,Completed
174,275836,87232,2025-12-03,Wrong Item,346.68,Completed
175,236153,75213,2023-03-05,Changed Mind,448.93,Completed
176,111234,23025,2025-01-30,Not as Described,266.63,Completed
177,103813,29123,2023-02-04,Not as Described,154.84,Completed
178,16774,71963,2025-03-18,Changed Mind,71.6,Completed
179,147719,95524,2023-05-22,Late Delivery,179.16,Completed
180,273040,28491,2024-12-08,Changed Mind,161.52,Completed
181,78703,82950,2023-08-29,Wrong Item,222.96,Completed
182,13320,96045,2025-11-29,Late Delivery,352.24,Completed
183,4551,32585,2023-12-22,Changed Mind,166.8,Completed
184,435404,56405,2024-07-14,Changed Mind,244.62,Completed
185,8640,23621,2024-01-17,Late Delivery,177.87,Approved
186,149395,27567,2023-08-20,Late Delivery,488.32,Completed
187,52990,75402,2024-05-20,Late Delivery,445.66,Completed
188,195767,2616,2023-09-29,Changed Mind,473.9,Completed
189,96634,13894,2023-08-31,Not as Described,195.16,Completed
190,156691,65862,2023-02-26,Changed Mind,344.06,Completed
191,159815,97289,2025-11-13,Late Delivery,429.69,Completed
192,428842,9206,2023-10-01,Changed Mind,224.26,Approved
193,193071,3668,2023-09-19,Changed Mind,23.1,Rejected
194,487863,24450,2025-12-25,Late Delivery,254.71,Rejected
195,52536,65416,2024-09-10,Late Delivery,499.04,Completed
196,325459,64699,2023-09-09,Damaged,297.06,Completed
197,415187,16242,2025-02-03,Damaged,312.76,Completed
198,245692,6746,2025-11-05,Not as Described,335.89,Completed
199,300786,40419,2025-06-30,Not as Described,218.38,Approved
200,66546,90205,2023-12-24,Changed Mind,145.33,Approved
201,279900,51795,2025-08-18,Late Delivery,437.44,Approved
202,5110,10404,2023-12-21,Changed Mind,63.67,Completed
203,4884,85126,2025-10-21,Late Delivery,16.0,Completed
204,479451,94638,2023-10-25,Not as Described,73.47,Completed
205,15945,35543,2024-12-20,Wrong Item,386.08,Approved
206,44096,1418,2025-04-05,Late Delivery,298.32,Completed
207,75817,69075,2023-06-25,Not as Described,466.45,Completed
208,191993,71115,2025-10-30,Wrong Item,398.7,Completed
209,234440,78985,2023-03-28,Damaged,453.89,Completed
210,331241,84080,2023-12-14,Late Delivery,380.99,Completed
211,277507,85204,2024-08-07,Not as Described,297.92,Completed
212,439591,32019,2024-12-05,Wrong Item,319.45,Completed
213,227385,82490,2023-11-16,Changed Mind,360.08,Completed
214,73529,82870,2023-11-13,Not as Described,120.31,Completed
215,56061,19740,2024-12-01,Damaged,92.87,Approved
216,391691,89672,2023-11-09,Changed Mind,281.1,Completed
217,47552,58196,2025-07-17,Damaged,130.99,Completed
218,278257,61265,2025-08-01,Not as Described,423.51,Completed
219,80475,70798,2023-04-20,Changed Mind,278.83,Approved
220,122777,70321,2024-04-29,Changed Mind,338.89,Completed
221,163289,70203,2024-12-02,Changed Mind,317.21,Approved
222,9097,53089,2024-07-27,Wrong Item,230.7,Completed
223,365218,59249,2023-08-06,Changed Mind,34.68,Approved
224,26075,37032,2024-11-12,Late Delivery,128.16,Completed
