review_id,order_id,customer_id,rating,review_date,review_text
1,443922,45253,4,2025-11-21,Good product
2,415781,1641,2,2023-10-07,Good product
3,38543,19043,4,2024-12-04,Good product
4,326575,27849,5,2025-07-25,Good product
5,438303,68642,5,2024-04-13,Good product
6,164630,23682,5,2024-11-14,Good product
7,285962,93841,1,2025-12-08,Good product
8,32264,18795,4,2023-10-23,Average product
9,353395,12599,5,2025-08-02,Good product
10,447895,32998,5,2023-02-20,Good product
11,64944,20800,4,2024-02-29,Good product
12,463743,73316,4,2025-04-18,Needs improvement
13,308935,44864,5,2024-08-30,Good product
14,140565,91006,5,2024-04-07,Good product
15,241878,70633,5,2025-10-26,Good product
16,147126,70528,5,2025-05-27,Good product
17,49442,26695,5,2025-04-12,Needs improvement
18,72874,75176,4,2025-01-07,Good product
19,114498,29771,5,2023-03-16,Good product
20,59449,8777,3,2023-05-17,Needs improvement
21,476470,95467,4,2025-12-10,Good product
22,51419,62414,5,2025-07-04,Good product
23,314723,47476,4,2025-06-08,Good product
24,349196,83236,3,2023-08-13,Good product
25,27643,70566,1,2023-05-24,Good product
26,272163,81909,5,2023-07-01,Good product
27,110971,70936,5,2024-08-27,Good product
28,241724,62697,5,2025-01-08,Average product
29,216305,97020,5,2023-11-20,Good product
30,165870,48285,5,2024-05-20,Good product
31,16855,93939,5,2025-01-06,Average product
32,175579,33059,4,2023-10-17,Good product
33,315808,55427,4,2023-10-08,Good product
34,334699,88598,3,2024-10-10,Average product
35,20953,20520,4,2023-11-04,Needs improvement
36,94481,17063,5,2025-11-15,Good product
37,389476,10992,5,2024-10-23,Good product
38,53231,58015,3,2023-04-20,Average product
39,14383,80888,4,2025-06-02,Good product
40,364499,26304,4,2024-07-20,Good product
41,699,36738,4,2023-02-24,Good product
42,23372,91578,5,2025-04-22,Average product
43,98019,82233,4,2023-08-20,Good product
44,101914,89872,4,2025-12-02,Good product
45,479939,72272,5,2025-09-27,Good product
46,47504,14855,5,2024-08-06,Good product
47,129338,9673,5,2023-11-19,Good product
48,476252,97190,5,2025-05-23,Good product
49,21811,41027,4,2023-05-08,Good product
50,194424,91438,3,2025-01-18,Good product
51,232768,3012,4,2023-10-24,Good product
52,272966,42408,4,2024-08-28,Good product
53,163402,30316,3,2025-11-02,Needs improvement
54,269755,34187,5,2025-05-23,Needs improvement
55,165675,51856,5,2023-11-28,Good product
56,385434,87368,5,2025-07-13,Good product
57,136320,93244,4,2023-05-18,Needs improvement
58,39876,113,5,2024-07-21,Good product
59,63583,45148,4,2023-08-12,Good product
60,310257,16589,4,2025-11-21,Good product
61,314338,4222,5,2023-01-18,Good product
62,392174,5365,5,2023-12-28,Good product
63,53211,17989,3,2025-05-21,Good product
64,435770,10574,4,2025-08-03,Good product
65,63860,92215,4,2023-12-05,Average product
66,137789,2398,4,2024-11-29,Good product
67,172339,96690,5,2024-08-27,Good product
68,151238,64919,4,2023-01-16,Needs improvement
69,482493,49441,5,2025-08-08,Average product
70,409107,6277,5,2024-09-24,Good product
71,404608,9631,5,2025-12-10,Good product
72,474674,74648,4,2024-02-13,Good product
73,418740,35336,5,2023-11-21,Good product
74,462769,45952,5,2025-12-10,Good product
75,125329,50593,4,2025-10-27,Average product
76,474713,3547,5,2023-09-01,Good product
77,278317,98555,5,2024-04-09,Good product
78,201187,55228,3,2025-04-13,Good product
79,130565,46390,4,2024-09-24,Good product
80,322998,11066,2,2024-11-13,Good product
81,252372,17660,2,2023-04-04,Good product
82,82735,63865,3,2025-09-26,Good product
83,391301,502,5,2025-05-10,Good product
84,78061,86542,4,2025-03-22,Good product
85,347061,57612,4,2023-02-21,Good product
86,210597,36707,5,2025-04-19,Good product
87,460807,11320,5,2024-11-15,Needs improvement
88,453286,35406,4,2024-10-28,Good product
89,474948,92892,4,2023-07-12,Average product
90,45220,58781,5,2024-07-11,Good product
91,194451,40195,3,2023-02-09,Good product
92,193955,733,4,2025-03-11,Good product
93,201700,12467,5,2025-01-02,Good product
94,158331,33234,3,2025-04-22,Good product
95,228061,41245,5,2025-05-03,Good product
96,431110,76245,4,2023-10-12,Good product
97,18034,12270,4,2025-09-08,Good product
98,317514,87094,4,2024-04-19,Good product
99,371317,14409,5,2025-10-02,Average product
100,462470,85019,5,2025-07-02,Good product
101,207881,18335,5,2023-10-05,Good product
102,166706,97664,4,2025-03-01,Good product
103,287920,62494,5,2025-07-25,Good product
104,103989,88213,3,2023-06-20,Good product
105,81264,65343,5,2023-07-04,Good product
106,363264,6596,5,2023-04-16,Good product
107,233208,79317,4,2023-03-01,Good product
108,487006,21497,1,2023-10-11,Needs improvement
109,187265,9495,4,2023-10-13,Good product
110,257989,51843,5,2025-12-04,Average product
111,115902,51358,5,2025-07-24,Average product
112,496697,93546,4,2025-09-10,Good product
113,148560,23460,5,2024-09-29,Good product
114,366471,26220,5,2024-08-15,Good product
115,160235,22609,5,2025-07-08,Good product
116,438237,68610,5,2024-11-14,Good product
117,199304,57529,5,2025-08-03,Good product
118,209180,6662,3,2025-12-19,Good product
119,344817,67559,4,2024-08-01,Good product
120,391627,5298,4,2024-12-03,Good product
121,61224,29442,5,2024-09-13,Average product
122,388872,15311,5,2025-08-15,Good product
123,110130,877,4,2025-02-19,Good product
124,133891,64500,5,2023-03-09,Good product
125,398368,83946,5,2024-08-22,Good product
126,420104,6706,5,2024-03-10,Average product
127,237081,51233,4,2025-12-26,Good product
128,355908,94934,5,2025-11-20,Good product
129,366676,51804,4,2025-05-15,Good product
130,199849,81640,5,2025-04-24,Good product
131,156243,1333,4,2023-05-18,Good product
132,40793,10755,2,2024-12-18,Needs improvement
133,281832,61859,5,2024-11-26,Good product
134,45318,10421,4,2025-12-20,Good product
135,304725,19794,4,2023-05-31,Good product
136,423098,81238,5,2024-01-15,Good product
137,266021,66586,5,2023-08-19,Good product
138,264010,47201,4,2023-03-10,Good product
139,257262,29406,4,2025-11-09,Good product
140,444855,51995,5,2023-10-23,Good product
141,18716,54821,4,2025-07-20,Good product
142,269127,17876,4,2025-09-28,Good product
143,332210,62612,4,2024-12-21,Good product
144,325110,57762,4,2024-05-27,Good product
145,261563,75054,5,2024-02-23,Average product
146,309800,98002,5,2025-05-01,Good product
147,362799,99268,5,2023-09-06,Good product
148,236359,81043,4,2023-05-12,Good product
149,466204,31943,4,2024-03-08,Average product
150,182567,89635,5,2023-04-05,Good product
151,256625,57914,4,2025-07-23,Good product
152,147119,60514,5,2025-01-19,Needs improvement
153,370796,84136,4,2025-12-12,Good product
154,383383,32809,5,2025-08-22,Good product
155,20855,81023,5,2025-01-23,Good product
156,209403,99046,5,2024-01-09,Good product
157,477884,72145,5,2025-05-25,Good product
158,27761,74356,5,2025-01-19,Good product
159,383052,274,5,2024-07-23,Good product
160,174584,76919,5,2025-02-06,Good product
161,430834,53053,3,2024-10-02,Good product
162,316006,16353,5,2024-07-14,Good product
163,70719,91011,5,2024-11-23,Average product
164,181954,38545,5,2023-12-04,Good product
165,62426,89141,5,2025-06-16,Good product
166,471033,98854,4,2023-01-17,Good product
167,336324,30662,4,2024-02-22,Needs improvement
168,398289,37439,3,2025-05-06,Good product
169,327197,28337,4,2024-12-17,Good product
170,153947,13736,4,2025-06-25,Good product
171,452049,87505,5,2023-06-20,Average product
172,490949,35742,4,2025-05-05,Good product
173,26158,86107,5,2025-05-30,Average product
174,301143,21173,4,2024-10-20,Good product
175,482530,60867,4,2023-06-20,Good product
176,273877,10352,5,2025-10-22,Good product
177,339009,31183,4,2024-06-13,Good product
178,243364,9206,5,2025-04-06,Good product
179,31190,56395,4,2024-12-29,Average product
180,460400,87807,5,2023-06-28,Average product
181,38474,1654,4,2025-01-20,Good product
182,117006,88977,5,2023-12-20,Good product
183,212353,79903,4,2025-05-22,Good product
184,420986,68830,5,2024-04-15,Good product
185,311171,87847,4,2023-03-05,Average product
186,185797,54598,4,2023-12-04,Average product
187,64907,59363,5,2024-05-18,Good product
188,171296,57947,4,2024-07-05,Average product
189,195445,32809,5,2025-07-03,Good product
190,456007,95472,5,2023-04-15,Good product
191,296072,9191,2,2023-12-14,Good product
192,142878,62192,4,2023-06-20,Average product
193,427516,93497,4,2025-08-07,Good product
194,49983,86450,4,2025-07-05,Good product
195,119715,50737,4,2025-07-27,Good product
196,13601,5554,4,2023-11-26,Good product
197,222979,1898,5,2023-04-30,Needs improvement
198,293485,80399,5,2025-05-22,Good product
199,197881,80894,5,2025-05-02,Good product
200,75914,99987,5,2024-01-09,Needs improvement
201,80715,41181,5,2023-08-29,Good product
202,485677,50739,4,2023-06-29,Good product
203,1217,7865,4,2025-01-03,Good product
204,38220,26934,5,2026-01-02,Good product
205,188200,70288,4,2024-08-29,Good product
206,78856,16261,4,2025-12-05,Good product
207,227591,86708,3,2024-06-03,Good product
208,363527,43861,3,2025-09-02,Good product
209,25697,37995,4,2023-11-19,Needs improvement
210,122839,44069,4,2024-10-05,Good product
211,489523,78069,5,2023-06-08,Good product
212,74615,43966,5,2023-07-13,Good product
213,36812,68312,4,2023-11-07,Good product
214,174628,13158,4,2023-04-28,Good product
215,417341,5469,4,2024-08-01,Good product
216,459799,18772,4,2025-01-09,Good product
217,110826,16964,4,2025-06-26,Good product
218,268788,32518,4,2023-03-20,Good product
219,288200,83326,3,2025-10-27,Good product
220,60058,21060,4,2024-03-09,Good product
221,154196,82291,1,2024-04-03,Good product
222,274761,79216,5,2024-02-16,Good product
223,472194,2975,2,2024-04-02,Good product
224,108167,46744,4,2023-09-23,Good product
225,253963,55427,3,2023-08-05,Good product
226,77425,25711,5,2025-03-19,Good product
227,150187,32614,5,2025-08-01,Good product
228,430009,7845,4,2023-10-14,Good product
229,352695,654,4,2023-11-26,Good product
230,220583,58651,3,2024-06-26,Good product
231,325671,41976,5,2023-09-05,Good product
232,91356,22243,4,2025-11-17,Average product
233,253856,74108,5,2025-11-14,Good product
234,271033,98850,4,2023-11-09,Good product
235,104022,59742,5,2025-04-28,Good product
236,417973,62758,5,2023-11-16,Good product
237,383728,98495,1,2025-11-17,Good product
238,421771,64969,4,2023-08-29,Good product
239,215780,85887,4,2025-07-05,Good product
240,66976,80735,5,2024-12-24,Good product
241,168140,75393,3,2024-04-29,Good product
242,214831,89996,4,2025-01-31,Good product
243,430373,35812,5,2024-09-11,Needs improvement
244,7124,34900,4,2025-12-23,Good product
245,116715,55106,1,2025-09-17,Good product
246,97389,31361,4,2025-12-01,Good product
247,136693,69538,4,2023-11-02,Good product
248,203993,13442,4,2024-06-02,Good product
249,416759,20992,5,2025-12-15,Good product
250,499673,17761,4,2024-10-17,Good product
251,411252,74630,2,2023-10-22,Good product
252,335086,94640,4,2023-09-23,Good product
253,469031,2414,4,2023-11-25,Good product
254,481657,5509,4,2023-10-17,Good product
255,262631,86695,5,2025-11-30,Average product
