supplier_id,supplier_name,country,supplier_rating,active_flag
1,Supplier 0001,United Kingdom,4.18,N
2,Supplier 0002,Kazakhstan,3.5,Y
3,Supplier 0003,Spain,4.27,Y
4,Supplier 0004,France,4.37,Y
5,Supplier 0005,Turkey,4.35,Y
6,Supplier 0006,Turkey,4.59,Y
7,Supplier 0007,Azerbaijan,4.48,Y
8,Supplier 0008,UAE,4.31,Y
9,Supplier 0009,France,4.07,Y
10,Supplier 0010,Spain,3.35,Y
11,Supplier 0011,Azerbaijan,4.29,Y
12,Supplier 0012,Kazakhstan,4.19,Y
13,Supplier 0013,UAE,4.22,Y
14,Supplier 0014,Germany,3.53,Y
15,Supplier 0015,Turkey,3.61,Y
16,Supplier 0016,Turkey,4.57,Y
17,Supplier 0017,United Kingdom,4.08,Y
18,Supplier 0018,United States,4.41,Y
19,Supplier 0019,United States,4.11,Y
20,Supplier 0020,Germany,4.11,Y
21,Supplier 0021,Italy,4.52,Y
22,Supplier 0022,Turkey,3.87,Y
23,Supplier 0023,Germany,4.14,Y
24,Supplier 0024,United Kingdom,3.89,Y
25,Supplier 0025,United States,3.9,Y
26,Supplier 0026,Poland,3.96,Y
27,Supplier 0027,Turkey,4.2,Y
28,Supplier 0028,United States,3.88,Y
29,Supplier 0029,France,4.67,N
30,Supplier 0030,Azerbaijan,3.7,Y
31,Supplier 0031,France,4.02,Y
32,Supplier 0032,Turkey,3.9,Y
33,Supplier 0033,Azerbaijan,4.75,Y
34,Supplier 0034,Kazakhstan,4.19,Y
35,Supplier 0035,Kazakhstan,4.56,Y
36,Supplier 0036,UAE,3.43,Y
37,Supplier 0037,United Kingdom,4.22,Y
38,Supplier 0038,Turkey,4.5,Y
39,Supplier 0039,Spain,4.14,Y
40,Supplier 0040,United States,4.58,Y
41,Supplier 0041,Turkey,3.87,Y
42,Supplier 0042,United States,4.73,Y
43,Supplier 0043,Azerbaijan,5.0,Y
44,Supplier 0044,Georgia,3.94,Y
45,Supplier 0045,Germany,3.9,Y
46,Supplier 0046,Italy,4.75,Y
47,Supplier 0047,United Kingdom,4.81,Y
48,Supplier 0048,United States,3.86,Y
49,Supplier 0049,France,3.91,Y
50,Supplier 0050,Turkey,3.97,Y
51,Supplier 0051,Kazakhstan,3.49,Y
52,Supplier 0052,Poland,3.69,Y
53,Supplier 0053,Kazakhstan,3.65,Y
54,Supplier 0054,Georgia,3.75,Y
55,Supplier 0055,France,4.08,Y
56,Supplier 0056,Kazakhstan,4.21,Y
57,Supplier 0057,Turkey,4.8,Y
58,Supplier 0058,Turkey,3.65,Y
59,Supplier 0059,Azerbaijan,4.54,Y
60,Supplier 0060,United Kingdom,4.0,Y
61,Supplier 0061,United Kingdom,4.08,Y
62,Supplier 0062,Germany,4.4,Y
63,Supplier 0063,UAE,3.59,Y
64,Supplier 0064,United Kingdom,4.27,Y
65,Supplier 0065,Germany,4.17,Y
66,Supplier 0066,France,4.32,Y
67,Supplier 0067,Turkey,4.23,Y
68,Supplier 0068,UAE,5.0,Y
69,Supplier 0069,Azerbaijan,3.81,Y
70,Supplier 0070,Kazakhstan,3.86,Y
71,Supplier 0071,Poland,3.82,Y
72,Supplier 0072,Turkey,3.85,Y
73,Supplier 0073,Azerbaijan,3.81,Y
74,Supplier 0074,UAE,4.64,Y
75,Supplier 0075,Spain,4.74,Y
76,Supplier 0076,Spain,3.84,Y
77,Supplier 0077,Poland,3.73,Y
78,Supplier 0078,Azerbaijan,4.31,Y
79,Supplier 0079,United Kingdom,3.85,Y
80,Supplier 0080,Turkey,4.38,Y
81,Supplier 0081,UAE,4.19,Y
82,Supplier 0082,Italy,3.42,Y
83,Supplier 0083,United Kingdom,4.8,Y
84,Supplier 0084,Azerbaijan,4.91,Y
85,Supplier 0085,United Kingdom,3.82,Y
86,Supplier 0086,United Kingdom,3.93,Y
87,Supplier 0087,Spain,4.23,Y
88,Supplier 0088,Italy,4.25,Y
89,Supplier 0089,Georgia,4.4,Y
90,Supplier 0090,United States,5.0,Y
91,Supplier 0091,Turkey,4.02,Y
92,Supplier 0092,Spain,3.74,Y
93,Supplier 0093,Poland,3.48,Y
94,Supplier 0094,France,3.77,Y
95,Supplier 0095,Poland,4.09,Y
96,Supplier 0096,United States,4.91,Y
97,Supplier 0097,United States,3.87,Y
98,Supplier 0098,United States,4.2,Y
99,Supplier 0099,Azerbaijan,4.09,Y
100,Supplier 0100,Turkey,4.63,Y
101,Supplier 0101,Azerbaijan,5.0,Y
102,Supplier 0102,Italy,3.86,Y
103,Supplier 0103,United Kingdom,3.88,Y
104,Supplier 0104,United States,4.57,Y
105,Supplier 0105,Georgia,4.41,Y
106,Supplier 0106,Germany,4.93,Y
107,Supplier 0107,United States,4.36,Y
108,Supplier 0108,Poland,3.94,Y
109,Supplier 0109,Germany,4.37,Y
110,Supplier 0110,Azerbaijan,4.6,Y
111,Supplier 0111,Germany,4.47,Y
112,Supplier 0112,Turkey,4.33,Y
113,Supplier 0113,Kazakhstan,4.58,Y
114,Supplier 0114,UAE,4.63,Y
115,Supplier 0115,Italy,4.72,Y
116,Supplier 0116,Georgia,4.39,Y
117,Supplier 0117,UAE,4.02,Y
118,Supplier 0118,Turkey,4.17,Y
119,Supplier 0119,Georgia,4.64,Y
120,Supplier 0120,United States,3.73,Y
121,Supplier 0121,UAE,4.27,Y
122,Supplier 0122,Georgia,3.92,Y
123,Supplier 0123,United Kingdom,4.11,N
124,Supplier 0124,Turkey,4.68,Y
125,Supplier 0125,Germany,4.19,Y
126,Supplier 0126,United States,4.12,Y
127,Supplier 0127,UAE,3.49,Y
128,Supplier 0128,UAE,4.44,Y
129,Supplier 0129,Azerbaijan,4.39,Y
130,Supplier 0130,United States,5.0,Y
131,Supplier 0131,United States,3.96,Y
132,Supplier 0132,Germany,4.2,Y
133,Supplier 0133,Turkey,4.21,Y
134,Supplier 0134,United Kingdom,4.81,Y
135,Supplier 0135,Kazakhstan,4.06,Y
136,Supplier 0136,United Kingdom,4.23,Y
137,Supplier 0137,United States,4.37,Y
138,Supplier 0138,Spain,4.18,Y
139,Supplier 0139,United Kingdom,3.9,Y
140,Supplier 0140,Kazakhstan,4.19,Y
141,Supplier 0141,Kazakhstan,4.58,Y
142,Supplier 0142,Germany,3.64,Y
143,Supplier 0143,United States,4.16,Y
144,Supplier 0144,United Kingdom,3.78,Y
145,Supplier 0145,Germany,4.64,Y
146,Supplier 0146,Azerbaijan,3.41,Y
147,Supplier 0147,France,3.85,N
148,Supplier 0148,United States,4.27,Y
149,Supplier 0149,Azerbaijan,4.8,Y
150,Supplier 0150,Germany,4.07,Y
151,Supplier 0151,Georgia,3.85,Y
152,Supplier 0152,Germany,4.95,Y
153,Supplier 0153,Turkey,3.45,Y
154,Supplier 0154,United States,3.11,Y
155,Supplier 0155,Kazakhstan,4.3,Y
156,Supplier 0156,Germany,3.87,Y
157,Supplier 0157,Italy,3.64,Y
158,Supplier 0158,Poland,4.42,Y
159,Supplier 0159,Germany,4.21,Y
160,Supplier 0160,Spain,3.85,Y
161,Supplier 0161,United Kingdom,3.52,Y
162,Supplier 0162,Italy,4.49,Y
163,Supplier 0163,Italy,4.39,Y
164,Supplier 0164,United States,4.06,Y
165,Supplier 0165,Turkey,4.93,Y
166,Supplier 0166,UAE,3.62,Y
167,Supplier 0167,United Kingdom,3.41,Y
168,Supplier 0168,Turkey,3.79,Y
169,Supplier 0169,Azerbaijan,4.08,Y
170,Supplier 0170,France,4.21,Y
171,Supplier 0171,Italy,3.99,Y
