ticket_id,customer_id,created_date,category,priority,status,resolution_hours
1,51226,2023-09-11,Account,Low,Closed,20.8
2,79405,2025-08-07,Return,Medium,Resolved,4.9
3,1282,2025-10-31,Other,Medium,Closed,11.5
4,27888,2023-04-08,Product,High,Closed,26.6
5,85859,2024-09-19,Product,Low,Closed,3.6
6,69201,2025-10-27,Return,Low,Closed,8.3
7,55968,2024-01-04,Product,Low,In Progress,6.6
8,26989,2024-01-04,Delivery,Medium,Resolved,8.0
9,66326,2024-10-04,Return,Low,Closed,3.1
10,69556,2024-09-26,Delivery,Medium,Resolved,2.4
11,71366,2023-05-19,Delivery,Low,Closed,4.1
12,80797,2023-02-07,Other,Medium,Resolved,5.8
13,20782,2023-10-31,Return,Medium,Closed,2.5
14,38229,2025-02-25,Delivery,High,Resolved,17.7
15,30348,2023-04-19,Account,High,Resolved,13.2
16,39928,2023-05-17,Account,Medium,Resolved,6.3
17,43667,2025-07-30,Return,High,Closed,3.3
18,84772,2025-05-06,Product,Low,Resolved,42.9
19,85926,2023-07-24,Delivery,Medium,Closed,18.2
20,66923,2024-10-03,Other,Medium,In Progress,1.9
21,85875,2025-08-04,Return,Low,Resolved,8.7
22,66212,2024-10-24,Delivery,Critical,Closed,18.7
23,43918,2023-01-20,Payment,Medium,Closed,5.3
24,82718,2023-02-09,Other,High,Closed,5.8
25,11284,2023-06-27,Return,High,Resolved,12.7
26,32701,2024-05-08,Product,Low,Open,11.1
27,14711,2024-09-14,Return,Low,Resolved,5.1
28,1298,2025-06-05,Product,Medium,Resolved,9.9
29,34234,2024-08-11,Payment,Medium,Resolved,38.2
30,52500,2025-07-13,Other,High,Resolved,14.5
31,23838,2023-04-04,Delivery,Medium,Open,13.7
32,26176,2024-07-24,Delivery,Medium,Resolved,20.4
33,58728,2023-02-20,Product,Low,Resolved,9.4
34,51922,2023-10-23,Product,High,Closed,9.2
35,27379,2023-06-02,Delivery,Medium,Resolved,15.2
36,51879,2025-12-16,Payment,Medium,Closed,1.2
37,72783,2023-07-06,Product,Medium,Resolved,3.8
38,25621,2024-09-16,Return,Medium,Resolved,28.7
39,96831,2023-07-02,Delivery,Medium,Resolved,12.0
40,66951,2024-05-20,Other,Medium,Closed,7.4
41,16108,2023-03-09,Other,Medium,Resolved,11.7
42,92455,2023-08-31,Payment,Low,Closed,3.4
43,87917,2024-02-12,Other,Low,Open,2.4
44,41560,2023-03-26,Product,Low,Resolved,4.1
45,5167,2025-08-24,Return,Medium,Resolved,8.6
46,84147,2023-10-04,Product,Low,Resolved,10.1
47,35649,2025-08-01,Payment,Low,Closed,7.1
48,26402,2025-10-03,Delivery,Low,Closed,4.5
49,86424,2023-02-23,Payment,High,Resolved,15.8
50,92024,2024-10-03,Return,Medium,Closed,6.9
51,42106,2025-04-25,Payment,High,Resolved,1.8
52,51110,2023-05-19,Payment,Medium,Open,4.8
53,65778,2024-10-12,Other,High,Closed,5.6
54,31359,2024-01-06,Product,High,Resolved,2.5
55,13716,2024-09-02,Account,Medium,Resolved,11.6
56,3509,2024-05-08,Return,High,Resolved,24.0
57,19927,2025-04-15,Delivery,Medium,Resolved,2.3
58,50468,2023-12-30,Payment,High,Resolved,21.7
59,70230,2024-12-07,Product,Low,Open,2.6
60,11817,2025-10-07,Payment,Low,Closed,17.7
61,15673,2023-12-01,Other,High,Closed,5.2
62,13406,2023-03-23,Account,Low,Closed,11.3
63,72202,2025-07-30,Product,Low,Closed,3.9
64,44246,2023-07-20,Payment,Low,Resolved,12.8
65,17689,2024-03-25,Return,Medium,Resolved,2.3
66,48526,2024-10-12,Payment,Low,Open,3.0
67,41454,2023-05-16,Product,Low,Resolved,3.6
68,87743,2025-01-24,Product,Medium,Open,2.9
69,2298,2025-02-13,Return,Low,Open,8.2
70,78571,2024-12-28,Return,Medium,Resolved,7.0
71,51726,2025-05-07,Account,Low,In Progress,4.8
72,9089,2025-04-13,Delivery,Medium,Closed,12.4
73,80795,2025-10-12,Product,Low,Resolved,27.1
74,37781,2023-11-09,Delivery,High,Resolved,7.2
75,86868,2023-02-02,Delivery,Low,Open,6.7
76,48923,2023-01-29,Account,Low,Resolved,14.5
77,20300,2023-07-25,Other,Low,In Progress,19.3
78,46496,2023-11-08,Return,Low,Resolved,9.9
79,8153,2023-11-21,Product,Medium,Closed,8.8
80,62803,2023-05-19,Account,Medium,Resolved,70.0
81,37641,2024-05-01,Payment,Medium,Resolved,14.5
82,22619,2025-05-24,Payment,Low,Resolved,8.7
83,5329,2023-12-21,Payment,High,Resolved,12.1
84,66897,2025-11-20,Payment,Medium,Resolved,27.3
85,45125,2025-06-01,Return,Medium,Resolved,45.6
86,7020,2024-10-09,Product,Medium,Closed,3.8
87,59326,2024-09-12,Delivery,High,Resolved,16.2
88,49563,2025-06-03,Delivery,Medium,Open,7.0
89,46670,2025-02-09,Product,High,Closed,1.9
90,85350,2023-07-03,Other,Medium,Closed,2.8
91,53076,2023-11-15,Other,Medium,Resolved,15.9
92,55091,2024-06-03,Return,Medium,In Progress,2.2
93,25091,2025-10-26,Product,Low,Resolved,6.0
94,67721,2024-11-11,Product,Low,Closed,8.1
95,718,2025-06-04,Other,High,Closed,15.2
96,55765,2024-08-02,Delivery,Low,Closed,10.1
97,55220,2023-05-21,Payment,Low,In Progress,16.4
98,75355,2024-01-11,Delivery,Medium,Resolved,7.8
99,83728,2024-12-13,Product,Low,Closed,9.2
100,35174,2023-08-11,Product,Medium,In Progress,6.0
101,33958,2023-08-11,Delivery,High,In Progress,33.9
102,826,2023-05-03,Other,Medium,Resolved,5.4
103,25400,2023-07-04,Other,Low,Closed,12.5
104,22996,2024-12-08,Payment,Low,Resolved,7.4
105,60135,2024-06-16,Return,Low,Resolved,15.2
106,94937,2024-05-21,Delivery,Low,Closed,18.4
107,25511,2023-11-10,Return,Low,Resolved,19.2
108,14987,2024-08-04,Account,Low,Resolved,5.6
109,2497,2023-08-11,Product,low,Closed,7.9
110,54286,2024-06-12,Product,Low,Resolved,7.4
111,39342,2025-08-04,Delivery,Low,Resolved,20.1
112,76739,2025-06-18,Return,Low,Closed,21.4
113,71161,2023-06-14,Other,Low,Closed,3.1
114,15112,2025-09-07,Product,High,Resolved,3.2
115,50761,2023-01-18,Return,Low,Resolved,7.7
116,55107,2025-07-11,Product,Low,Resolved,3.0
117,32918,2025-01-18,Product,Medium,In Progress,31.7
